الأربعاء,,,,,,,الثلاثاء,الثنين,الحدد,السبت,,,,الإثنين,,,,,,,الأحد,,,,,,,السبت,,,,,,,
"الفترة
السابعة
(6:10","الفترة
السادسة)
(04:40","الفترة
الخامسة)
(3:05","الفترة الرابعة)
(01:30","الفترة الثالثة)
(11:40","الفترة الثانية)
(10:05","الفترة الولى)
(08:30","الفترة
السابعة)
(6:10","الفترة
السادسة)
(04:40","الفترة
الخامسة)
(3:05","الفترة الرابعة)
(01:30","الفترة الثالثة)
(11:40","الفترة
الثانية)
(10:05","الفترة الولى)
(08:30","الفترة
السابعة)
(6:10","الفترة
السادسة)
(04:40","الفترة
الخامسة)
(3:05","الفترة
الرابعة)
(01:30","الفترة
الثالثة)
(11:40","الفترة الثانية)
(10:05","الفترة
الولى)
(08:30","الفترة
السابعة)
(6:10","الفترة
السادسة)
(04:40","الفترة
الخامسة)
(3:05","الفترة
الرابعة)
(01:30","الفترة الثالثة)
(11:40","الفترة الثانية)
(10:05","الفترة الولى)
(08:30","الفترة
السابعة)
(6:10","الفترة
السادسة)
(04:40","الفترة
الخامسة)
(3:05","الفترة الرابعة)
(01:30","الفترة الثالثة)
(11:40","الفترة الثانية)
(10:05","الفترة الولى)
(08:30",
,,,,"الفرقة الثالثة-
نظم
نظرية
المعلومات
د. هيثم الغريب
مدرج (3)",,"الفرقة الثالثة-
نظم
قواعد بيانات  2
د. أميرة رزق
مدرج (4)",,,,,,"الفرقة
الثالثة-نظم
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (2)","ثالثة ن-مج 1
تحليل النظم
والتصميم
المنطقى
نجوى العربى
معمل 10)ز(",,,,"ثالثة ن-مج 1
أساليب البحث
العلمى
إبراهيم
الحسنوني
مدرج (4)","الفرقة
الثالثة-نظم
أساليب
البحث
العلمى
د. سماء
صبرى
مدرج (4)",,"ثالثة ن-مج 1
نظرية
المعلومات
هبة علي
معمل -3
وسائط
متعددة",,"ثالثة ن-مج 1
قواعد بيانات 2
ندى عادل
معمل 8)و(",,"الفرقة
الثالثة-نظم
تحليل النظم
والتصميم
المنطقى
أ.د. علء
الدين رياض,
د. سمير
عبد الرازق
مدرج (4)",,,,,,,,,,"ثالثة ن-مج 1
شبكات الحاسب
مصطفى الجيار
معمل
11)شبكات(",ثالثة ن-مج  1
,,,,"الفرقة الثالثة-
نظم
نظرية
المعلومات
د. هيثم الغريب
مدرج (3)",,"الفرقة الثالثة-
نظم
قواعد بيانات  2
د. أميرة رزق
مدرج (4)",,,"ثالثة ن-مج 2
قواعد بيانات 2
ندى عادل
معمل 9)و(",,"ثالثة ن-مج 2
نظرية المعلومات
هبة علي
معمل 5)د(","الفرقة
الثالثة-نظم
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (2)","ثالثة ن-مج 2
أساليب البحث
العلمى
إبراهيم
الحسنوني
مدرج (2)",,,,,"الفرقة
الثالثة-نظم
أساليب
البحث
العلمى
د. سماء
صبرى
مدرج (4)",,,,,,"الفرقة
الثالثة-نظم
تحليل النظم
والتصميم
المنطقى
أ.د. علء
الدين رياض,
د. سمير
عبد الرازق
مدرج (4)",,,,,,,,,"ثالثة ن-مج 2
شبكات الحاسب
مصطفى الجيار
معمل
11)شبكات(","ثالثة ن-مج 2
تحليل النظم
والتصميم
المنطقى
نجوى العربى
معمل 13
)الكترونيات (2",ثالثة ن-مج  2
,,,,"الفرقة الثالثة-
نظم
نظرية
المعلومات
د. هيثم الغريب
مدرج (3)",,"الفرقة الثالثة-
نظم
قواعد بيانات  2
د. أميرة رزق
مدرج (4)",,,,"ثالثة ن-مج 3
أساليب البحث
العلمى
إبراهيم
الحسنوني
معمل -6
معالجات دقيقة",,"الفرقة
الثالثة-نظم
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (2)",,,,,,"الفرقة
الثالثة-نظم
أساليب
البحث
العلمى
د. سماء
صبرى
مدرج (4)",,,,,"ثالثة ن-مج 3
قواعد بيانات 2
ندى عادل
معمل 8)و(","الفرقة
الثالثة-نظم
تحليل النظم
والتصميم
المنطقى
أ.د. علء
الدين رياض,
د. سمير
عبد الرازق
مدرج (4)","ثالثة ن-مج 3
شبكات الحاسب
مصطفى الجيار
معمل
11)شبكات(","ثالثة ن-مج 3
نظرية
المعلومات
هبة علي
معمل -3وسائط
متعددة",,,,,,"ثالثة ن-مج 3
تحليل النظم
والتصميم
المنطقى
نجوى العربى
معمل 13
)الكترونيات (2",,,ثالثة ن-مج  3
,,,,"الفرقة الثالثة-
نظم
نظرية
المعلومات
د. هيثم الغريب
مدرج (3)","ثالثة ن-مج 4
قواعد بيانات  2
ندى عادل
معمل 9)و(","الفرقة الثالثة-
نظم
قواعد بيانات  2
د. أميرة رزق
مدرج (4)",,,,,,"الفرقة
الثالثة-نظم
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (2)",,,,,,"الفرقة
الثالثة-نظم
أساليب
البحث
العلمى
د. سماء
صبرى
مدرج (4)","ثالثة ن-مج 4
نظرية المعلومات
هبة علي
معمل -3وسائط
متعددة","ثالثة ن-مج 4
أساليب
البحث
العلمى
إبراهيم
الحسنوني
مدرج (3)",,,,"الفرقة
الثالثة-نظم
تحليل النظم
والتصميم
المنطقى
أ.د. علء
الدين رياض,
د. سمير
عبد الرازق
مدرج (4)",,,,,,,"ثالثة ن-مج 4
شبكات الحاسب
مصطفى الجيار
معمل
11)شبكات(",,"ثالثة ن-مج 4
تحليل النظم
والتصميم
المنطقى
نجوى العربى
معمل 13
)الكترونيات (2",,ثالثة ن-مج  4
